Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (max),Uncertainty (min),NK,Uncertainty Type,Region,Notes
AD,Electricity Generation,Diesel oil,9835.556897,TJ,2006,NA,2%,-2%,,Normal,Jamaica,Reference?? -Energy Balance - 2006-Barrels of Oil Equivalent (KBOE)-3.4 Mining/Bauxite
AD,Electricity Generation,Fuel Oil,27919.40891,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,3.729459491,TJ,2006,NA,2%,-2%,,Normal,Jamaica,Reference?? -Energy Balance - 2006-Barrels of Oil Equivalent (KBOE)-3.12 Sugar Production
AD,Petroleum Refining,Fuel Oil,1470.259537,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,59430.23552,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,151.0840453,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3613.463955,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1108.284289,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,92.84172247,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,395.9318092,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,1474.386207,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,1178.109559,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,85.52376455,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,23125.62637,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,6194.374138,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,323.540695,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,246.0482964,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,0,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,186.5948276,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,530.5241284,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1572.817177,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,793.8547556,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,1050.576154,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,1392.787174,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,2099.432686,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1334.940837,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,407.3914853,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,657.962069,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,0,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,2510.681967,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,17180.46549,TJ,2006,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,10108.84655,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,29695.51143,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,4.038041822,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1591.911512,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,38296.34554,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,159.1572385,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3547.437205,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1510.216778,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,119.3679289,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,434.3217242,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,2140.386207,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,1205.212422,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,80.83753087,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,20589.60005,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,7638.905173,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,168.3845276,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,317.4909774,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,291.6487567,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,1433.048276,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
