Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
AD,Breeding Swine,head of Livestock,10762.1,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,11872.5,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,12982.9,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,14165.6,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,16007.1,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,17848.7,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,20122.05,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,22395.4,heads,2007,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,20770.64,heads,2008,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,19145.88,heads,2009,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,17521.12,heads,2010,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,15896.36,heads,2011,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,14271.6,heads,2012,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Breeding Swine,head of Livestock,12646.84,heads,2013,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2007,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2008,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2009,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2010,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2011,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2012,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Buffalo,head of Livestock,0,heads,2013,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,19699,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,19458,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,19226,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,18990,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,18510,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,17300,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,14514,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,11728,heads,2007,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,12746.75,heads,2008,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,13765.5,heads,2009,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,14784.25,heads,2010,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,15803,heads,2011,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,16174,heads,2012,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Dairy Cattle,head of Livestock,12353,heads,2013,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,300000,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,330000,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,363000,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,400000,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,425000,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,450000,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,466172.5,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,482345,heads,2007,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,448343,heads,2008,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,414341,heads,2009,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,380339,heads,2010,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,346337,heads,2011,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,337632,heads,2012,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Goats,head of Livestock,296866,heads,2013,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,18348,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,18551,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,18834,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,19123,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,19327,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,19546,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,19794.75,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,20043.5,heads,2007,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,20292.25,heads,2008,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,20541,heads,2009,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,20789.75,heads,2010,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,21038.5,heads,2011,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,21287.25,heads,2012,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Horses,head of Livestock,21536,heads,2013,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,96858.9,heads,2000,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,106852.5,heads,2001,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,116846.1,heads,2002,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,127490.4,heads,2003,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,144063.9,heads,2004,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,160638.3,heads,2005,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
AD,Market Swine,head of Livestock,181098.45,heads,2006,NA,,,,,Jamaica,Jamaica Agriculture statistics: AD used for enteric fermentation and manure management calculations
