Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
EF,Cement,Clinker Production,0.52,Tonne/Tonne,All,CO2,,,,,Jamaica,2006 IPCC Guidelines for National Greenhouse Gas Inventories
AD,Cement,Clinker Production,528134,Tonne,2000,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,511598,Tonne,2001,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,532140,Tonne,2002,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,600980,Tonne,2003,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,605814,Tonne,2004,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,542114,Tonne,2005,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,604174,Tonne,2006,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,519598,Tonne,2007,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,578067,Tonne,2008,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,742208,Tonne,2009,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,629444,Tonne,2010,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,628287,Tonne,2011,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,652579,Tonne,2012,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Cement,Clinker Production,696077,Tonne,2013,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
EF,Lime,Lime Production,0.75,Tonne/Tonne,All,CO2,,,,,Jamaica,2006 IPCC Guidelines for National Greenhouse Gas Inventories
AD,Lime,Lime Production,267215,Tonne,2000,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,281853,Tonne,2001,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,255266,Tonne,2002,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,275763,Tonne,2003,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,269139,Tonne,2004,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,269743,Tonne,2005,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
AD,Lime,Lime Production,303795,Tonne,2006,NA,,,,,Jamaica,0_Master_Summary_v5.xlsx
