Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.575979087,Gg CO2eq/kha,2006,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.572490283,Gg CO2eq/kha,2007,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.568992768,Gg CO2eq/kha,2008,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.565320802,Gg CO2eq/kha,2009,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.561641426,Gg CO2eq/kha,2010,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.557954617,Gg CO2eq/kha,2011,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
EF,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Change in CO2 eq in carbon stocks in biomass,-3.554260353,Gg CO2eq/kha,2012,CO2,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
AD,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Area of Forest Land Remaining Forest Land (ha),496.9492917,kha,2006,NA,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
AD,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Area of Forest Land Remaining Forest Land (ha),496.3303681,kha,2007,NA,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
AD,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Area of Forest Land Remaining Forest Land (ha),495.7114444,kha,2008,NA,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
AD,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Area of Forest Land Remaining Forest Land (ha),495.2122778,kha,2009,NA,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
AD,3B1a: Forest Land Remaining Forest Land Carbon Stock Increase,Area of Forest Land Remaining Forest Land (ha),494.7131111,kha,2010,NA,,,,,Jamaica,see LUULCF model LULUCF Worksheets for Jamaica's 2006-2012 GHG Inventory_Final_13-9-15-JG 3B1a (1of4): Annual increase in carbon stocks in biomass (includes above-ground and below-ground biomass) (Gg C)
