Term Set Name|Term Set Description|LCID|Available for Tagging|Term Description|Level 1 Term|Level 2 Term|Level 3 Term|Level 4 Term|Level 5 Term|Level 6 Term|Level 7 Term
2006 IPCC|2006 IPCC CRF Codes||TRUE|1: Energy|1: Energy||||||
|||TRUE|1.A: Fuel Combustion Activities|1: Energy|1.A: Fuel Combustion Activities|||||
|||TRUE|1.A.1: Energy Industries|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries||||
|||TRUE|1.A.1.a: Main Activity Electricity and Heat Production|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.a: Main Activity Electricity and Heat Production|||
|||TRUE|1.A.1.a.i: Electricity Generation|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.a: Main Activity Electricity and Heat Production|1.A.1.a.i: Electricity Generation||
|||TRUE|1.A.1.a.ii: Combined Heat and Power Generation (CHP)|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.a: Main Activity Electricity and Heat Production|1.A.1.a.ii: Combined Heat and Power Generation (CHP)||
|||TRUE|1.A.1.a.iii: Heat Plants|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.a: Main Activity Electricity and Heat Production|1.A.1.a.iii: Heat Plants||
|||TRUE|1.A.1.b: Petroleum Refining|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.b: Petroleum Refining|||
|||TRUE|1.A.1.c: Manufacture of Solid Fuels and Other Energy Industries|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.c: Manufacture of Solid Fuels and Other Energy Industries|||
|||TRUE|1.A.1.c.i: Manufacture of Solid Fuels|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.c: Manufacture of Solid Fuels and Other Energy Industries|1.A.1.c.i: Manufacture of Solid Fuels||
|||TRUE|1.A.1.c.ii: Other Energy Industries|1: Energy|1.A: Fuel Combustion Activities|1.A.1: Energy Industries|1.A.1.c: Manufacture of Solid Fuels and Other Energy Industries|1.A.1.c.ii: Other Energy Industries||
|||TRUE|1.A.2: Manufacturing Industries and Construction|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction||||
|||TRUE|1.A.2.a: Iron and Steel|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.a: Iron and Steel|||
|||TRUE|1.A.2.b: Non-Ferrous Metals|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.b: Non-Ferrous Metals|||
|||TRUE|1.A.2.c: Chemicals|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.c: Chemicals|||
|||TRUE|1.A.2.d: Pulp, Paper and Print|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.d: Pulp, Paper and Print|||
|||TRUE|1.A.2.e: Food Processing, Beverages and Tobacco|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.e: Food Processing, Beverages and Tobacco|||
|||TRUE|1.A.2.f: Non-Metallic Minerals|1: Energy|1.A: Fuel Combustion Activities|1.A.2: Manufacturing Industries and Construction|1.A.2.f: Non-Metallic Minerals|||
